                   Target           MJD              Blazar Flux          Blazar Flux Err          Check Star Flux      Check Star Flux Err
            HESSJ1943+213      57543.43               7.7581e+34               5.7161e+33               1.8956e+35               1.2221e+34
            HESSJ1943+213      57547.43               7.7581e+34               5.7161e+33               1.9309e+35               1.4227e+34
            HESSJ1943+213      57553.47               7.6165e+34               5.6118e+33               1.8956e+35               1.3967e+34
            HESSJ1943+213      57554.47               7.6165e+34               6.3133e+33               1.9132e+35               1.4096e+34
            HESSJ1943+213      57571.45               8.2747e+34               6.0968e+33               1.9132e+35               1.4096e+34
            HESSJ1943+213      57572.46               8.2747e+34               6.8589e+33               1.9487e+35               1.4358e+34
            HESSJ1943+213      57575.48               7.6869e+34               6.3717e+33               1.8271e+35               1.1779e+34
            HESSJ1943+213      57577.47               7.8299e+34               5.7690e+33               1.8271e+35               1.1779e+34
            HESSJ1943+213      57579.36               7.2070e+34               5.3101e+33               2.0785e+35               1.3400e+34
            HESSJ1943+213      57580.19               8.1237e+34               5.9855e+33               1.8956e+35               1.3967e+34
            HESSJ1943+213      57581.42               7.7581e+34               5.7161e+33               1.9309e+35               1.2448e+34
            HESSJ1943+213      57582.18               7.9754e+34               5.8763e+33               1.8271e+35               1.3462e+34
            HESSJ1943+213      57623.15               7.8299e+34               5.7690e+33               1.8783e+35               1.2109e+34
            HESSJ1943+213      57631.14               8.0492e+34               6.6720e+33               1.9850e+35               1.4625e+34
            HESSJ1943+213      57634.24               7.4089e+34               6.1412e+33               1.8783e+35               1.3839e+34
            HESSJ1943+213      57635.24               7.4775e+34               5.5094e+33               1.8783e+35               1.3839e+34
            HESSJ1943+213      57650.14               7.9754e+34               6.6108e+33               1.9309e+35               1.6005e+34
            HESSJ1943+213      57663.11               8.1237e+34               6.7337e+33               2.0219e+35               1.4897e+34
            HESSJ1943+213      57665.10               8.0492e+34               6.6720e+33               1.8956e+35               1.5713e+34
            HESSJ1943+213      57677.13               7.8299e+34               7.9324e+33               1.8956e+35               1.7459e+34
            HESSJ1943+213      57680.09               7.9754e+34               7.3454e+33               1.9668e+35               1.8114e+34
            HESSJ1943+213      57681.08               7.9754e+34               5.8763e+33               1.9487e+35               1.4358e+34
            HESSJ1943+213      57682.11               6.1625e+34               5.1081e+33               2.0406e+35               1.6914e+34
            HESSJ1943+213      57687.11               8.1989e+34               8.3063e+33               1.9132e+35               1.9382e+34
            HESSJ1943+213      57704.08               7.9023e+34               8.7336e+33               1.9132e+35               1.9382e+34
            HESSJ1943+213      57706.06               7.6869e+34               8.4956e+33               1.9487e+35               1.9743e+34
            HESSJ1943+213      57707.07               7.2070e+34               7.9652e+33               1.8783e+35               2.0758e+34
            HESSJ1943+213      57711.06               7.6869e+34               8.4956e+33               1.9850e+35               2.1938e+34
            HESSJ1943+213      57712.06               7.3410e+34               7.4371e+33               1.8440e+35               1.6983e+34
            HESSJ1943+213      57716.05               6.9463e+34               7.6771e+33               1.9487e+35               1.9743e+34
            HESSJ1943+213      57717.05               7.2737e+34               8.7088e+33               2.0595e+35               2.0864e+34
            HESSJ1943+213      57718.05               6.6950e+34               6.7828e+33               1.8783e+35               1.5569e+34
            HESSJ1943+213      57814.54               6.5126e+34               5.9981e+33               1.8440e+35               1.1888e+34
            HESSJ1943+213      57818.53               7.2737e+34               6.0291e+33               1.8783e+35               1.3839e+34
            HESSJ1943+213      57819.54               7.2737e+34               8.7088e+33               1.8610e+35               1.5426e+34
            HESSJ1943+213      57822.53               7.9023e+34               6.5502e+33               1.9850e+35               1.4625e+34
            HESSJ1943+213      57825.52               7.2070e+34               5.9739e+33               1.8440e+35               1.3586e+34
