                   Target           MJD              Blazar Flux          Blazar Flux Err          Check Star Flux      Check Star Flux Err
            HESSJ1943+213      56945.08               2.9266e+34               1.8868e+33               1.4533e+35               5.3540e+33
            HESSJ1943+213      56946.08               2.9266e+34               3.2344e+33               1.5218e+35               8.4095e+33
            HESSJ1943+213      56947.08               2.8732e+34               1.8523e+33               1.4803e+35               6.8169e+33
            HESSJ1943+213      56953.07               2.7692e+34               2.2954e+33               1.4007e+35               6.4504e+33
            HESSJ1943+213      56955.07               2.7692e+34               2.5505e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      56967.06               2.1397e+34               2.5619e+33               1.5501e+35               5.7106e+33
            HESSJ1943+213      56972.06               2.7692e+34               2.8055e+33               1.4137e+35               6.5101e+33
            HESSJ1943+213      56973.08               2.7438e+34               1.7690e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      56977.07               3.2089e+34               2.0688e+33               1.4533e+35               6.6925e+33
            HESSJ1943+213      56978.06               2.0061e+34               2.2172e+33               1.4668e+35               6.7544e+33
            HESSJ1943+213      56979.06               2.1795e+00               2.0073e+01               2.1795e+00               2.0073e+01
            HESSJ1943+213      56982.05               2.1397e+34               3.9414e+33               1.4803e+35               9.5437e+33
            HESSJ1943+213      56996.05               2.3247e+34               3.2115e+33               1.5501e+35               8.5658e+33
            HESSJ1943+213      56998.06               2.1007e+34               2.9021e+33               1.3752e+35               7.5992e+33
            HESSJ1943+213      57003.05               2.0814e+34               2.8755e+33               1.4668e+35               6.7544e+33
            HESSJ1943+213      57082.54               1.0147e+35               1.2150e+34               3.3602e+00               3.0947e+01
            HESSJ1943+213      57086.54               1.4533e+34               5.0863e+33               1.5359e+35               1.1316e+34
            HESSJ1943+213      57089.54               2.6691e+34               4.9164e+33               1.5501e+35               9.9935e+33
            HESSJ1943+213      57106.51               2.8732e+34               2.1169e+33               1.4803e+35               6.8169e+33
            HESSJ1943+213      57107.52               2.8997e+34               3.4719e+33               1.4803e+35               6.8169e+33
            HESSJ1943+213      57113.51               2.9810e+34               2.4709e+33               1.4668e+35               5.4035e+33
            HESSJ1943+213      57114.50               2.5256e+34               2.0934e+33               1.4940e+35               5.5040e+33
            HESSJ1943+213      57117.45               2.3679e+34               2.3989e+33               1.4668e+35               5.4035e+33
            HESSJ1943+213      57131.48               3.1504e+34               1.7409e+33               1.4668e+35               6.7544e+33
            HESSJ1943+213      57135.49               3.1215e+34               1.7249e+33               1.4803e+35               5.4535e+33
            HESSJ1943+213      57137.43               3.1795e+34               1.7570e+33               1.4803e+35               6.8169e+33
            HESSJ1943+213      57139.40               3.2988e+34               1.8229e+33               1.4940e+35               5.5040e+33
            HESSJ1943+213      57160.43               3.2386e+34               1.7897e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      57172.48               2.9810e+34               3.0200e+33               1.4400e+35               7.9574e+33
            HESSJ1943+213      57184.37               2.6691e+34               1.7207e+33               1.4940e+35               6.8800e+33
            HESSJ1943+213      57188.47               2.4795e+34               2.7403e+33               1.4533e+35               6.6925e+33
            HESSJ1943+213      57192.25               2.2613e+34               1.8744e+33               1.4940e+35               8.2560e+33
            HESSJ1943+213      57193.44               3.0086e+34               1.9396e+33               1.4803e+35               6.8169e+33
            HESSJ1943+213      57194.40               3.0929e+34               1.9940e+33               1.4533e+35               6.6925e+33
            HESSJ1943+213      57195.24               2.3679e+34               1.9627e+33               1.6232e+35               8.9695e+33
            HESSJ1943+213      57225.40               3.1504e+34               2.3212e+33               1.4803e+35               8.1803e+33
            HESSJ1943+213      57283.14               1.7473e+41               1.6173e+42               1.7473e+41               1.6173e+42
            HESSJ1943+213      57296.18               3.3293e+34               2.1464e+33               1.4533e+35               6.6925e+33
            HESSJ1943+213      57305.09               2.7187e+34               1.7527e+33               1.5218e+35               7.0079e+33
            HESSJ1943+213      57310.07               2.9266e+34               2.1563e+33               1.4803e+35               6.8169e+33
            HESSJ1943+213      57328.07               3.0364e+34               1.6779e+33               1.4668e+35               5.4035e+33
            HESSJ1943+213      57333.07               2.8997e+34               1.8695e+33               1.4940e+35               6.8800e+33
